exoplanet_name,star_name,M,M_errmin,M_errmax,m,m_errmin,m_errmax,P,P_errmin,P_errmax,a,a_errmin,a_errmax
HATS-18 b,HATS-18,1.037,0.047,0.047,1.98,0.077,0.077,0.8378434,4.70E-07,4.70E-07,0.01761,0.00027,0.00027
HATS-19 b,HATS-19,1.303,0.83,0.83,0.427,0.071,0.071,4.569673,1.00E-05,1.00E-05,0.0589,0.0013,0.0013
HATS-2 b,HATS-2,0.882,0.037,0.037,1.345,0.15,0.15,1.354133,1.00E-06,1.00E-06,0.023,0.0003,0.0003
HATS-20 b,HATS-20,0.91,0.026,0.026,0.273,0.035,0.035,3.7992969,7.90E-06,7.90E-06,0.04619,0.00044,0.00044
HATS-21 b,HATS-21,1.08,0.026,0.026,0.332,0.03,0.04,3.5543973,5.80E-06,5.80E-06,0.04676,0.00038,0.00038
HATS-22 b,HATS-22,0.759,0.019,0.019,2.74,0.11,0.11,4.7228124,5.20E-06,5.20E-06,0.05025,0.00042,0.00042
HATS-23 b,HATS-23,1.121,0.046,0.046,1.47,0.072,0.072,2.1605156,4.50E-06,4.50E-06,0.03397,0.00047,0.00047
HATS-24 b,HATS-24,1.212,0.033,0.033,2.44,0.18,0.18,1.3484954,1.30E-06,1.30E-06,0.02547,0.00023,0.00023
HATS-25 b,HATS-25,0.994,0.035,0.035,0.613,0.042,0.042,4.2986432,4.50E-06,4.50E-06,0.05163,0.0006,0.0006
HATS-26 b,HATS-26,1.299,0.056,0.113,0.65,0.076,0.076,3.3023881,7.60E-06,7.60E-06,0.04735,0.00068,0.00133
HATS-27 b,HATS-27,1.415,0.048,0.048,0.53,0.13,0.13,4.637038,1.40E-05,1.40E-05,0.0611,0.00068,0.00068
HATS-28 b,HATS-28,0.929,0.036,0.036,0.672,0.087,0.087,3.1810781,3.90E-06,3.90E-06,0.04131,0.00053,0.00053
HATS-29 b,HATS-29,1.032,0.049,0.049,0.653,0.063,0.063,4.6058749,6.30E-06,6.30E-06,0.05475,0.00088,0.00088
HATS-3 b,HATS-3,1.209,0.036,0.036,1.071,0.136,0.136,3.547851,5.00E-06,5.00E-06,0.0485,0.0006,0.0004
HATS-30 b,HATS-30,1.093,0.031,0.031,0.706,0.039,0.039,3.1743516,2.60E-06,2.60E-06,0.04354,0.00042,0.00042
HATS-31 b,HATS-31,1.275,0.096,0.096,0.88,0.12,0.12,3.37796,1.20E-05,1.20E-05,0.0478,0.0012,0.0012
HATS-32 b,HATS-32,1.099,0.044,0.044,0.92,0.1,0.1,2.8126548,5.50E-06,5.50E-06,0.04024,0.00053,0.00053
HATS-33 b,HATS-33,1.062,0.032,0.032,1.192,0.053,0.053,2.5495551,6.10E-06,6.10E-06,0.03727,0.00037,0.00037
HATS-34 b,HATS-34,0.955,0.031,0.031,0.941,0.072,0.072,2.1061607,4.70E-06,4.70E-06,0.03166,0.00034,0.00034
HATS-35 b,HATS-35,1.317,0.4,0.4,1.222,0.078,0.078,1.8209933,1.60E-06,1.60E-06,0.03199,0.00033,0.00033
HATS-36 b,HATS-36,1.1,0.04,0.04,2.79,0.4,0.4,4.175186,3.30E-05,3.30E-05,0.0523,0.0006,0.0006
HATS-37A b,HATS-37A,0.843,0.012,0.017,0.099,0.042,0.042,4.3315366,4.10E-06,4.10E-06,0.04913,0.00023,0.00033
HATS-38 b,HATS-38,0.89,0.012,0.016,0.074,0.011,0.011,4.375021,1.00E-05,1.00E-05,0.05036,0.00023,0.0003
